step,algorithm,loss,policy_loss,entropy,reward,rollout_count,generated_tokens_mean,cot_tokens_mean,cot_tokens_total,cot_match_accuracy,cot_match_percent,process_match_accuracy,process_match_percent,output_match_accuracy,output_match_percent,exact_match_accuracy,exact_match_percent,curriculum_stage,train_min_len,train_max_len,generation_max_new_tokens,generation_temperature
25,grpo_process_terminal,-0.0,-0.0,0.02781442366540432,3.0,8.0,9.5,7.5,60.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,1.0,40.0,64.0,0.25
50,grpo_process_terminal,-0.0,-0.0,0.05231814831495285,2.9210524559020996,8.0,35.5,33.5,268.0,0.9605263157894737,96.05263157894737,0.9605263157894737,96.05263157894737,1.0,100.0,0.5,50.0,1.0,1.0,40.0,64.0,0.25
75,grpo_process_terminal,-0.0,-0.0,0.08923286199569702,2.194444417953491,8.0,38.0,36.0,288.0,0.8472222222222222,84.72222222222221,0.8472222222222222,84.72222222222221,0.5,50.0,0.0,0.0,1.0,1.0,40.0,64.0,0.25
100,grpo_process_terminal,-0.0,-0.0,0.03588040545582771,3.0,8.0,23.0,21.0,168.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,1.0,40.0,64.0,0.25
125,grpo_process_terminal,0.01294851303100586,0.01294851303100586,0.09759457409381866,1.5248918533325195,8.0,39.0,37.0,296.0,0.7624458874458876,76.24458874458875,0.7624458874458876,76.24458874458875,0.0,0.0,0.0,0.0,2.0,35.0,44.0,56.0,0.25
150,grpo_process_terminal,-0.0,-0.0,0.08842439204454422,2.650834560394287,8.0,39.5,37.5,300.0,0.8254172015404364,82.54172015404365,0.8254172015404364,82.54172015404365,1.0,100.0,0.0,0.0,2.0,35.0,44.0,56.0,0.25
175,grpo_process_terminal,-0.0,-0.0,0.09887340664863586,2.1958041191101074,8.0,39.5,37.5,300.0,0.8479020979020978,84.79020979020979,0.8479020979020978,84.79020979020979,0.5,50.0,0.0,0.0,2.0,35.0,44.0,56.0,0.25
200,grpo_process_terminal,0.008397823199629784,0.008397823199629784,0.08618548512458801,2.3562498092651367,8.0,42.0,40.0,320.0,0.9281250000000001,92.81250000000001,0.9281250000000001,92.81250000000001,0.5,50.0,0.0,0.0,2.0,35.0,44.0,56.0,0.25
225,grpo_process_terminal,-0.0,-0.0,0.11870737373828888,1.4880739450454712,8.0,40.0,38.0,304.0,0.49403697078115694,49.40369707811569,0.49403697078115694,49.40369707811569,0.5,50.0,0.0,0.0,2.0,35.0,44.0,56.0,0.25
250,grpo_process_terminal,0.007793355267494917,0.007793355267494917,0.11001338809728622,1.8337522745132446,8.0,39.0,37.0,296.0,0.7918761785040856,79.18761785040857,0.7918761785040856,79.18761785040857,0.25,25.0,0.0,0.0,2.0,35.0,44.0,56.0,0.25
275,grpo_process_terminal,0.0014263845514506102,0.0014263845514506102,0.07838049530982971,1.8554275035858154,8.0,41.0,39.0,312.0,0.9036184210526317,90.36184210526316,0.9036184210526317,90.36184210526316,0.5,50.0,0.0,0.0,3.0,38.0,48.0,60.0,0.2
300,grpo_process_terminal,-0.0,-0.0,0.08066225796937943,1.240789532661438,8.0,38.5,36.5,292.0,0.8271929824561404,82.71929824561404,0.8271929824561404,82.71929824561404,0.0,0.0,0.0,0.0,3.0,38.0,48.0,60.0,0.2
325,grpo_process_terminal,0.00010491300781723112,0.00010491300781723112,0.09042172133922577,0.9294019937515259,8.0,39.5,37.5,300.0,0.6196013289036545,61.96013289036545,0.6196013289036545,61.96013289036545,0.0,0.0,0.0,0.0,3.0,38.0,48.0,60.0,0.2
350,grpo_process_terminal,0.0610370971262455,0.0610370971262455,0.09474607557058334,1.6233301162719727,8.0,45.0,43.0,344.0,0.7488866897575457,74.88866897575457,0.7488866897575457,74.88866897575457,0.5,50.0,0.0,0.0,3.0,38.0,48.0,60.0,0.2
375,grpo_process_terminal,0.0012291789753362536,0.0012291789753362536,0.10050670057535172,1.6344197988510132,8.0,39.0,37.0,296.0,0.75627990430622,75.627990430622,0.75627990430622,75.627990430622,0.5,50.0,0.0,0.0,3.0,38.0,48.0,60.0,0.2
400,grpo_process_terminal,-0.0,-0.0,0.09063184261322021,1.3908729553222656,8.0,43.0,41.0,328.0,0.7126984126984127,71.26984126984127,0.7126984126984127,71.26984126984127,0.5,50.0,0.0,0.0,4.0,40.0,52.0,64.0,0.2
425,grpo_process_terminal,0.03455401957035065,0.03455401957035065,0.11388558894395828,1.007575273513794,8.0,47.25,45.25,362.0,0.8060602289696366,80.60602289696365,0.8060602289696366,80.60602289696365,0.0,0.0,0.0,0.0,4.0,40.0,52.0,64.0,0.2
450,grpo_process_terminal,0.005115351174026728,0.005115351174026728,0.12285828590393066,0.9900959730148315,8.0,56.5,54.5,436.0,0.692076830732293,69.2076830732293,0.692076830732293,69.2076830732293,0.125,12.5,0.0,0.0,4.0,40.0,52.0,64.0,0.2
475,grpo_process_terminal,-0.0,-0.0,0.08515386283397675,1.9636526107788086,8.0,47.0,45.0,360.0,0.7709219858156028,77.09219858156028,0.7709219858156028,77.09219858156028,1.0,100.0,0.0,0.0,4.0,40.0,52.0,64.0,0.2
500,grpo_process_terminal,0.0041904025711119175,0.0041904025711119175,0.14380979537963867,1.2156250476837158,8.0,49.625,47.625,381.0,0.5725000000000001,57.250000000000014,0.5725000000000001,57.250000000000014,0.5,50.0,0.0,0.0,4.0,40.0,52.0,64.0,0.2
